_GAMENAME|BLOCKPOST
_RENAME|RENOMBRAR
_RETURN|VOLVER
_CURRENT_STATÚS_CLAN_OPEN|Estado actúal del clan <color=#FF0>opened</color>
_CLAN_TAKES_APPLICATION|El clan acepta invitaciones para ser miembro
_CURRENT_STATÚS_CLAN_CLOSE|Estado actúal del clan <color=#FF0>closed</color>
_CLAN_NOT_ACCEPT_APPLICATION|El clan no acepta invitaciones para ser miembro
_CHANGE_STATÚS|CAMBIAR ESTADO
_CURRENT_NUMBER_SLOTS|Espacios disponibles <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>TÚ clan ha alcanzado el maximo de 200 slots</color>
_SLOTS_AFTER_EXPANSION|Espacios después de la expansión
_MAXIMUM_200|(máximo 200)
_COST_OPERATION|El coste de la operación son de 50 monedas!
_PLACE_WEAPON_CASE|Elige 3 armas para intercambiar <color=red>(las armas se destruiran para siempre)</color>, en resultado recibirás una caja especial
_PLACE_WEAPON_WEAPON|Elige 3 armas para la modernización <color=red>(weapons will be destroyed permanently)</color>, en consecuencia recibirás un arma modeada.
_PLACE_CASE_2_COIN|Elige 1 caja para vender <color=red>(case will be delete from inventory permanently)</color>, en resultado recibirás 2 monedas.
_PLACE_CASE_3_COIN|Elige una caja para vender <color=red>(case will be delete from inventory permanently)</color>, en resultado recibirás 1 moneda.
_PLACE_CASE_1_COIN|Elige una caja para vender <color=red>(case will be delete from inventory permanently)</color>, en resultado recibirás 1 moneda.
_WAITING_SERVER|ESPERANDO LA RESPUESTA DEL SERVIDOR
_START_DISARMAMENT|INICIAR INTERCAMBIO
_START_UPGRADE_NOT|COMENZAR LA MODERNIZACIÓN (EN DESARROLLO)
_SALE_WILL_BE|LA VENTA ESTARÁ DISPONIBLE A TRAVÉS DE
_START_SALE|INICIAR VENTA
_MAP_SAVED|MAPA GUARDADO
_CONSERVATION|GUARDANDO MAPA...
_ENABLE_CHAT|HABILITAR CHAT
_DISABLE_CHAT|DESHABILITAR CHAT
_GAME_MENU|MENÚ DEL JUEGO
_BACK_TO_GAME|VOLVER AL JUEGO
_CHANGE_WEAPON|CAMBIAR ARMA
_SAVE_MAP|GUARDAR MAPA
_EXIT_MAIN_MENU|SALIR AL MENU
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|PRIMARIA
_SECONDARY|SECUNDARIA
_MELEE|ARMA CUERPO A CUERPO
_BUILDING_BLOCK|BLOQUE
_ADDITIONAL|ESPECIAL
_COIN|MONEDA
_COINS|MONEDAS
_VOICE|VOZ
_VOICES|VOCES
_DAMAGE|DAÑO
_CAGE|CLIP
_STOCK|MUNICIÓN
_RATE_FIRE|CADENCIA DE TIRO
_DISTANCE|DISTANCIA
_ACCURACY|PRECISIÓN
_RELOAD_SPEED|VELOCIDAD DE RECARGA
_RECOIL|RETROCESO
_PROPERTIES|PENETRACIÓN
_MOBILITY|MOBILIDAD
_OVERVIEW|MIRAR
_WEAR_WEAPON|EQUIPAR ARMA
_REMOVE_WEAPON|SOLTAR ARMAR
_COLOR_SKIN|TONO DE PIEL
_COLOR_EYE|COLOR DE OJOS
_COLOR_HAIR|COLOR DE PELO
_HAIRSTYLE|ESTILO DE PELO
_EYE_TYPE|OJOS
_BEARD|BARBA
_HAT|CABEZA
_BODY|CUERPO
_PANTS|PANTALONES
_BOOTS|BOTAS
_BASIC_LVL|BASICO Lv.
_FRAGS|FRAGS:
_PROGRESS|PROGRESO
_WITHOUT_SIGHT|SIN MIRILLA
_NEW_MAP|NUEVO MAPA
_IS_LOADING|CARGANDO
_NAME_MAP|NOMBRE DEL MAPA
_SIZE_MAP|TAMAÑO DEL MAPA
_HEIGHT_MAP|ALTÚRA
_CREATE|CREAR
_LOAD|CARGAR
_CHANGE_NAME|CAMBIAR NOMBRE
_SAVING|GUARDANDO...
_PURCHASE_CHANGE_NAME|COMPRAR PARA RENOMBRAR (2 veces)
_BUY|COMPRAR
_REGULAR_TASKS|TAREAS REGULARES
_ACTIVE_TASKS|TAREAS ACTIVAS
_PROGRESS_ACTIVITIES|El progreso de estas tareas siempre se completa
_MUST_SELECT_TASK|Debes seleccionar un trabajo para completar
_NEW_LVL|NUEVO NIVEL
_REACH_LVL|Alcanza %param% nivel
_SHTORM_TROOPER|Soldado
_FRAGS_ASSAULT_RIFLE|Alcanza %param% frags con rifle de asalto
_MADE_IN_RUSSIA|«MADE IN RUSSIA»
_MADE_IN_RUSSIA2|«MADE IN RUSSIA 2»
_FRAGS_RUSSIAN_WEAPON|Alcanza %param% frags con las armas rusas
_SNIPER|Francotirador
_FRAGS_SNIPER_RIFLE|Alcanza 1000 frags con rifle de francotirador
_SECONDARY_WEAPON|ARMA SECUNDARIA
_FRAGS_PISTOL|Alcanza 300 frags con pistola
_GIFT_CASE_ANNIVERSARY|Caja regalo de aniversario
_GIFT_KEY_ANNIVERSARY|Llave regalo de aniversario
_FRAGS_HEADSHOT|Alcanza 500 frags con tiro en la cabeza
_VICTORY_DAY|VICTORIA DEL DÍA
_GIFT_CASE_VICTORYDAY|Caja de regalo por la victoria del día
_GIFT_KEY_VICTORYDAY|Llave de regalo por la vistoria del día
_VICTORY_CASE|CAJA DE LA VICTORIA
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>Alcanza 1000 frags con cualquier arma<br><color=orange>+50% para progresar con el uso de armas en esta caja</color></size> 
_GIFT_CASE_HALLOWEEN|Caja regalo de Halloween
_GIFT_KEY_HALLOWEEN|Llave regalo de Halloween
_FRAGS_MELEE_WEAPON|Alcanza 500 frags con arma cuerpo a cuerpo
_HAPPY_NEW_YEAR|FELIZ AÑO NUEVO
_FRAGS_ANY_WEAPON|Alcanza 1000 frags con cualquier arma
_REWARD|RECOMPENSA
_AWARE_AWARD|COJER RECOMPENSA
_SELECT_TASK|SELECCIONAR TAREA
_SELECTED|SELECCIONADO
_QUALITY_GRAPHICS|CALIDAD
_SWITCHED_OFF|DESHABILITADO
_SWITCHED_ON|HABILITADO
_CENTER|CENTRO
_LEFT|IZQUIERDA
_WHITE|BLANCO
_GREEN|VERDE
_YELLOW|AMARILLO
_BLUE|AZUL
_ORANGE|NARANJA
_MEAN|NORMAL
_HIGH|ALTO
_VERY_HIGH|MUY ALTO
_LOW|BAJO
_ULTRA|ULTRA
_RECRUIT|RECLUTAR
_COLOR_SIGHT|COLOR DE LA MIRILLA
_DISPLAY_LIFE|MOSTRAR VIDA EN PANTALLA
_CHAT_FILTER|FILTRO DEL CHAT
_NETWORK_SURFACE|INTERNET FLUIDO
_DEVELOPERS_MODE|MODO DESARROLLADOR
_SCREEN_RESOLUTION|RESOLUCIÓN DE PANTALLA
_DYNAMIC_LIGHTING|LUCES DINAMICAS
_BLICKS|BLICKS
_PARTICLES|PARTÍCULAS
_SMOOTHING|SUAVIDAD
_MOTION_BLUR|MOVIMIENTO BORROSO
_FULL_SCREEN|PANTALLA COMPLETA tecla rápida <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|SENSIBILIDAD DEL RATÓN
_MOUSE_SENSITIVITY_AIM|SENSIBILIDAD DEL RATÓN (AIM)
_SOUND_VOLUME|VOLUMEN DE SONIDO
_MUSIC_VOLUME|VOLUMEN DE MÚSICA
_REPEAL|CANCELAR
_SAVE|GUARDAR
_SETTINGS_SAVED|AJUSTES GUARDADOS!
_BACK|VOLVER
_OFFICIAL_SERVER|SERVIDORES OFICIALES
_USER_SERVER|SERVIDORES DE USUARIOS
_BASIC_MODE_GAME|Modo de juego predeterminado y mapas
_MODIFIED_MODE_GAME|Modo de juego personalizado y mapas creados por los usuarios
_HIDE_FULL_SERVER|Ocultar servidores llenos
_HIDE_EMPTY_SERVER|Ocultar servidores vacios
_ALL_MODES|Todos los modos
_FILTER_TDM|Combate por equipos
_FILTER_FFA|Combate libre
_FILTER_SHOVEL|Combate de palas
_FILTER_ELIMINATION|Eliminación
_MODE_TDM|Combate por equipos
_MODE_SHOVEL|BATALLA DE PALAS
_MODE_FFA|COMBATE LIBRE
_MODE_TEST|MODO DE PRUEBA
_MODE_ELIMINATION|ELIMINACIÓN
_MODE_INFECTION|INFECCIÓN
_RENDER_DEV|RENDER CHAR
_RENDER_CASE|RENDER CASE
_EDITOR_SKIN|SKIN EDITOR
_EDITOR_MAP|EDITOR DE MAPA
_SQUAD|ESCUADRA
_CREATE_SERVER|CREAR SERVER
_REFRESH_SERVER|REFRESCAR LISTA
_SERVER|SERVIDOR
_MODE|MODO
_PLAYERS|JUGADORES
_LEVEL|NIVEL
_CONNECT|CONECTAR
_TEST_MAP|MAPA DE PRUEBA
_LOAD_MAP|CARGAR MAPA
_NEW_MAP|MAPA NUEVO
_NEW_SKIN|NUEVO SKIN
_LOAD_SKIN|CARGAR SKIN
_EXPA|EXP:
_LEVEL_PROGRESS|NIVEL DE PROGRESO:
_DEATH|MUERTES:
_RATIO|K/D PROPORCIÓN:
_ASSIST|ASISTENCIAS:
_HEADSHOT|TIROS A LA CABEZA:
_PLAYER|JUGADOR
_NOT_ENTER_RATING|SIN CLASIFICACIÓN
_SHOW|MOSTRAR
_WAITING_CONFIRM|Esperando confirmación de recibo del artículo...
_THANK_YOU_PURCHASE|Gracias por su compra! El artículo está en inventario
_TRY_AGAIN|Ha ocurrido un error, por favor intente de nuevo más tarde.
_CASE_CONTAIN_SUBJECTS|Esta caja puede contener uno de los siguientes artículos:
_CASE_IN_WORKSHOP|Esta caja se puede obtener en el taller en la sección de intercambio.
_CASE_JOB|Esta caja se puede obtener de forma gratuita completando la tarea.
_AVAILABLE_CASE|Cajas disponibles:
_SUPPLY THROUGH|Reabastecimiento en via
_KEY_ONE_OPEN|Llave de un solo uso que abre la caja apropiada
_COSTÚME_CAN_COMBINED|Traje de personaje (se puede combinar con otras prendas de vestir)
_OPEN|ABRIR
_COST|COSTE:
_BUY_MORE|COMPRAR +1
_GOTO|IR
_NOT_MISS_COIN|NO TE QUEDAN MONEDAS PARA COMPRAR
_FILL_COINS|AÑADIR MONEDAS
_EXIT|SALIR
_NO_WEAPON|SIN ARMA
_MASTERLY|MAESTRO!
_PERFECTLY|PERFECTO!
_EXCELLENT|EXCELENTE!
_IDEALLY|IDEAL!
_CLICK_SELECT_WEAPON|PRESIONA <color=yellow>E</color> PARAR CAMBIAR EL SET
_WEAPON_CHANGE_REVIVAL|EL ARMA SE CAMBIARA CUANDO REVIVAS
_NO_AMMO|SIN MUNICIÓN
_WON|GANADO
_NEXT_GAME_WILLBE|EL PRÓXIMO JUEGO COMENZARÁ
_GAME_OVER|EL JUEGO A TERMINADO
_TEAM_RED_WINS|EQUIPO ROJO GANA
_TEAM_BLUE_WINS|QUIPO AZUL GANA
_DRAW|EMPATE
_YOU_WERE_KILLED|HAS MUERTO POR
_WEAPON|Arma
_SPECIALIZATION|ESPECIALIDAD
_YOU|TÚ
_ENEMY|ENEMIGO
_HOLD_REDIAL_VIEWING|MANTENER <color=yellow>H</color> PARA VER
_TO_TEAM|(equipo)
_TOTAL|TOTAL
_WAITING_AUTH|PENDIENTE DE AUTORIZACIÓN
_PLAY|JUGAR
_INVENTORY|INVENTARIO
_MENU_WEAPON|ARMAS
_CHARACTER|PERSONAJE
_CASES|CAJAS
_PROFILE|PERFIL
_SHOP|TIENDA
_KEYS|LLAVES
_SUIT|TRAJES
_WORKSHOP|WORKSHOP
_PARSE|INTERCAMBIO
_UPGRADE|MEJORAR
_BUYING_CASES|COMPRAR CAJAS
_TASKS|TAREAS
_COMBAT|COMBATE
_BONUSES|BONUS
_RATING|CLASIFICACIÓN
_OPTIONS|OPCIONES
_GAME|JUEGO
_GRAPHICS|GRÁFICOS
_CONTROL|CONTROLES
_SOUND|SONIDO
_SELECT_NAME|SELECIONAR NOMBRE
_COMPLETION|COMPRAR ORO
_CLANS|CLANES
_MY_CLAN|MI CLAN
_FIND_CLAN|BUSCAR CLAN
_MESSAGES|MENSAJES
_CLICK_CHANGE_NAME|CLICK PARA CAMBIAR EL NOMBRE
_CLICK_FILL_COINS|CLICK PARA AÑADIR ORO
_CLICK_CONTINUE|CLICK PARA CONTINUAR
_AUTH_SUCCESSFULLY|AUTORIZACIÓN EXITOSA
_YOU_KILLED_PLAYER|has matado ha
_YOU_KILLED|has muerto
_SURVIVAL_TIME|tiempo con vida
_MIN|мин
_SERVER_AVAILABLE_WILL_BE|La próxima entrada al servidor estará disponible a través de.
_NOT_CONNECT_TIMEOUT|CONEXIÓN CON EL SERVER RECHAZADA (TIMEOUT)
_PRESERVED|GUARDADO!
_INCORRECT_LENGTH|LONGITÚD INCORRECTA
_MIX_LANGUAGES|MEZCLAR IDIOMAS
_NAME_BUSY|EL NOMBRE YA ESTÁ EN USO
_YOU_TAKE|TÚ PLAZA
_PLACE_RATING|EN CLASIFICACIÓN
_MEMBERS|JUGADORES CON EQUIPO
_INCORRECT_CLAN_NAME|NOMBRE DEL CLAN INCORRECTO
_CLAN_NOT_FOUND|CLAN NO ENCONTRADO
_CLAN_FOUND|CLAN ENCONTRADO
_NOT_CONNECT_LOST_CONNECTION|CONEXIÓN CON EL SERVER RECHAZADA (LOST CONNECTION)
_ONLINE|EN LÍNEA:
_LOADING|CARGANDO
_CLICK_OPEN_ADMIN_MENU_SERVER|PRESIONA <color=yellow>K</color> PARA ABRIR EL MENU DE ADMINISTRADOR DEL SERVIDOR
_MENU_ADMIN_SERVER|SERVER ADMINISTRATOR MENU
_SERVER_CONFIG|CONFIGURACIÓN DEL SERVIDOR
_MAPS_MANAGER|GESTIONAR MAPAS
_PLAYERS_MANAGER|GESTIONAR JUGADORES
_MAPS_LOADING|CARGANDO MAPAS
_MAPS_AVAILABLE|MAPAS DISPONIBLES
_MAPS_ROTATION|MAPAS EN ROTACIÓN
_ADD_TO_ROTATION|AÑADIR A ROTACIÓN
_REQUEST_ADDING_TO_ROTATION|SOLICITAR PARA AGREGAR MAPA
_TO_ROTATION|a rotación
_REMOVE_FROM_ROTATION|BORRAR PARA ROTACIÓN
_REQUEST_REMOVE_FROM_ROTATION|SOLICITAR PARA ELIMINAR MAPA
_FROM_ROTATION|para rotación
_LAUNCH_MAP|INICIAR MAPA
_REQUEST_LAUNCH_MAP|SOLICITAR PARA INICIAR MAPA
_KICK_FROM_SERVER|EXPULSADO DEL SERVER
_REQUEST_FOR_KICK_PLAYER|SOLICITAR EXPULSAR JUGADOR
_PERMISSION_CHAT|DENEGAR/PERMITIR CHAT
_REQUEST_SILENCE_PLAYER|solicitar silenciar/no silenciar jugador
_PERMISSION_BUILDING|DENEGAR/PERMITIR CONSTRUCCIÓN
_REQUEST_BUILD_FOR_PLAYER|solicitar acceso de construción a jugador
_MODE_GAME|MODO DE JUEGO        
_VISIBILITY_SERVER|VISIVILIDAD DEL SERVIDOR
_VISIBLE_EVERYONE|PARA TODOS
_HIDDEN|ESCONDER
_MODIFIERS|MODIFICADORES
_ALLOW_BREAK|PERMITIR ROMPER
_FORBIDDEN_BREAK|PROHIBIDO ROMPER
_ALLOW_BUILD|PERMITIR CONSTRUIR
_FORBIDDEN_BUILD|PROHIBIR CONSTRUIR
_ALLOW_ATTACK|PERMITIDO ATACAR
_FORBIDDEN_ATTACK|PROHIBIDO ATACAR
_LOCAL_MAPS|MAPAS LOCALES
_MAPS_ON_SERVER|MAPAS DEL SERVIDOR
_REMOVE_MAP|ELIMINAR MAPA
_REQUEST_REMOVE_MAP|solicitar borrar el mapa
_SEND_TO_SERVER|ENVIAR AL SERVIDOR
_DOWNLOAD_FROM_DISK|CARGAR DESDE EL DISCO DURO
_REQUEST_PLAYER_TO_CLAN|solicitar entrar al clan
_CLANCHAT|CHAT DEL CLAN
_PLAYERS|JUGADORES
_LANGUAGE|IDIOMAS
_TAP_CONTINUE|CLICKA PARA CONTINUAR
_CROSSPLAY|Servidores multi plataforma
_FULL|LLENO
_CHANGE_TEAM|CAMBIAR EQUIPO
_QUICK_PLAY|JUEGO RAPIDO
_SERVER_LIST|LISTA DE SERVIDORES
_LOGOUT|SALIR DEL PERFIL
_FPS_LIMIT|LIMITE DE FPS
_FIELDOFVIEW|CAMPO DE VISIÓN
_SENSITIVITY|SENSIBILIDAD
_SENSITIVITY_AIM|SENSIBILIDAD (AIM)
_LOGIN_GAME|ENTRAR AL JUEGO
_LOGIN_VK|ENTRAR VIA VK
_ORDER_LIST|LISTA DE PEDIDOS
_CLAN_EXP|CLAN EXP
_LEVEL_PROGRESS|LEVEL PROGRESS
_CLAN_FRAGS|CLAN FRAGS:
_CLAN_DEATHS|CLAN DEATHS:
_PLAYER_STATS|ESTADOS DEL JUGADOR
_PLAYER_GAINED|EXP GANADA:
_UPLOAD_FILES|SUBIR ARCHIVOS
_ROUND|RONDA
_ROUND_WON|RONDA GANADA
_ROUND_LOSE|RONDA PERDIDA
_ENEMY_ELIMINATED|ENEMIGO ELIMINADO
_ROUND_TIME_END|TIEMPO DE RONDA EXCEDIDO
_RESET|RESETEO
_CHANGE_CONTROL|CAMBIAR CONTROL
_FILTER_INFECTION|Infección
_PRESET|PROGRAMAR
_RENDER_DISTANCE|DISTANCIA DE RENDERIZADO
_PERFOMANCE|RENDIMIENTO
_QUALITY|CALIDAD
_PLACE_WEAPON_CASE_STEAM|Elige 3 armas para intercambiar <color=red>(las armas serán destruidas permanentemente)</color>, en consecuencia recibirás una caja especial
_MOVEMENT|MOVIMIENTO
_WEAPONS|ARMAS
_CHAT|CHAT
_GAMEPLAY|JUEGO
_FORWARD|ADELANTE
_BACKWARD|ATRÁS
_STRAFE_LEFT|IZQUIERDA
_STRAFE_RIGHT|DERECHA
_PREVIOUS_WEAPON|ARMA PREVIA
_ALL_CHAT|CHAT (TODOS)
_TEAM_CHAT|CHAT DE EQUIPO
_CHANGE_SET|CAMBIAR SET
_SECOND_ATTACK|BOTÓN DE ATAQUE ADICIONAL
_CROUCH|AGACHAR
