_GAMENAME|BLOCKPOST
_DAMAGE|SCHADEN
_CAGE|MAGAZIN
_STOCK|MUNITION
_RATE_FIRE|FEUERRATE
_DISTANCE|DISTANZ
_ACCURACY|GENAUIGKEIT
_RELOAD_SPEED|NACHLADEGESCHWINDIGKEIT
_RECOIL|RÜCKSTOß
_PROPERTIES|DURCHSCHLAGSKRAFT
_MOBILITY|BEWEGLICHKEIT
_OVERVIEW|ANZEIGEN
_WEAR_WEAPON|WAFFE AUSRÜSTEN
_REMOVE_WEAPON|WAFFE ABLEGEN
_COLOR_SKIN|HAUTFARBE
_COLOR_EYE|AUGENFARBE
_COLOR_HAIR|HAARFARBE
_HAIRSTYLE|FRISUR
_EYE_TYPE|AUGE
_BEARD|BART
_HAT|KOPFBEDECKUNG
_BODY|KÖRPER
_PANTS|HOSEN
_BOOTS|SCHUHE
_BASIC_LVL|STANDART Lv.
_FRAGS|TÖTUNGEN:
_PROGRESS|FORTSCHRITT
_WITHOUT_SIGHT|OHNE VISIER
_NEW_MAP|NEUE KARTE
_IS_LOADING|LADEN
_NAME_MAP|KARTENNAME
_SIZE_MAP|KARTENGRÖßE
_HEIGHT_MAP|HÖHE
_CREATE|ERSTELLEN
_LOAD|LADEN
_CHANGE_NAME|NAMEN ÄNDERN
_SAVING|SPEICHERN..
_PURCHASE_CHANGE_NAME|Kaufe Namensänderung (2 Versuche)
_BUY|KAUFE
_REGULAR_TASKS|REGULÄRE AUFGABEN
_ACTIVE_TASKS|AKTIVE AUFGABEN
_PROGRESS_ACTIVITIES|der Fortschritt dieser Aufgaben wird immer ausgeführt
_MUST_SELECT_TASK|Du musst eine Aufgabe zum Ausführen auswählen
_NEW_LVL|NEUES LEVEL
_REACH_LVL|Level %param% erreicht
_SHTORM_TROOPER|KAVALLERIST
_FRAGS_ASSAULT_RIFLE|Erreiche %param% Tötungen mit Sturmgewehren
_MADE_IN_RUSSIA|«MADE IN RUSSIA»
_MADE_IN_RUSSIA2|«MADE IN RUSSIA 2»
_FRAGS_RUSSIAN_WEAPON|Erreiche %param% Tötungen mit Russischen Waffen
_SNIPER|SCHARFSCHÜTZE
_FRAGS_SNIPER_RIFLE|Erreiche 1000 Tötungen mit Scharfschützengewehren
_SECONDARY_WEAPON|SEKUNDÄR WAFFEN
_FRAGS_PISTOL|Erreiche 300 Tötungen mit Pistolen
_GIFT_CASE_ANNIVERSARY|Geschenkkiste Jubiläum
_GIFT_KEY_ANNIVERSARY|Geschenkschlüssel Jubiläum
_FRAGS_HEADSHOT|Erreiche 500 Tötungen mit Kopfschüssen
_VICTORY_DAY|SIEGESTAG
_GIFT_CASE_VICTORYDAY|Geschenkkiste Siegestag
_GIFT_KEY_VICTORYDAY|Geschenkschlüssel Siegestag
_VICTORY_CASE|SIEGESTRUHE
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>Erreiche 1000 Tötungen mit beliebigen Waffen<br><color=orange>+50% Fortschritt mit Waffen aus dieser Truhe</color></size>
_GIFT_CASE_HALLOWEEN|Geschenktruhe Halloweeen
_GIFT_KEY_HALLOWEEN|Geschenkschlüssel Halloweeen
_FRAGS_MELEE_WEAPON|Erreiche 500 Tötungen mit Nahkampfwaffen
_HAPPY_NEW_YEAR|FROHES NEUES JAHR
_FRAGS_ANY_WEAPON|Erreiche 1000 Tötungen mit beliebigen Waffen
_REWARD|Belohnung
_AWARE_AWARD|NIMM BELOHNUNG
_SELECT_TASK|WÄHLE AUFGABE
_SELECTED|AUSGEWÄHLT
_QUALITY_GRAPHICS|QUALITÄT
_SWITCHED_OFF|DEAKTIVIERT
_SWITCHED_ON|AKTIVIERT
_CENTER|MITTE
_LEFT|LINKS
_WHITE|WEIß
_GREEN|GRÜN
_YELLOW|GELB
_BLUE|BLAU
_ORANGE|ORANGE
_MEAN|NORMAL
_HIGH|HOCH
_VERY_HIGH|SEHR HOCH
_LOW|NIEDRIG
_ULTRA|ULTRA
_RECRUIT|REKRUTIEREN
_COLOR_SIGHT|FADENKREUZ FARBE
_DISPLAY_LIFE|ZEIGE GESUNDHEIT
_CHAT_FILTER|CHAT FILTER
_NETWORK_SURFACE|NETWORK WEICH
_DEVELOPERS_MODE|ENTWICKLER MODUS
_SCREEN_RESOLUTION|BILDSCHIRMAUFLÖSUNG
_DYNAMIC_LIGHTING|DYNAMISCHES LICHT
_BLICKS|LENS FLARE (BLENDENFLECK)
_PARTICLES|PARTIKEL
_SMOOTHING|GLÄTTUNG
_MOTION_BLUR|BEWEGUNGSUNSCHÄRFE
_FULL_SCREEN|Vollbild Hotkey <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|MAUS EMPFINDLICHKEIT
_MOUSE_SENSITIVITY_AIM|MAUS EMPFINDLICHKEIT (ZIELEN)
_SOUND_VOLUME|GERÄUSCH LAUTSTÄRKE
_MUSIC_VOLUME|MUSIK LAUTSTÄRKE
_REPEAL|ABBRECHEN
_SAVE|SPEICHERN
_SETTINGS_SAVED|EINSTELLUNGEN GESPEICHERT!
_BACK|ZURÜCK
_OFFICIAL_SERVER|OFFIZIELLE SERVER
_USER_SERVER|BENUTZER SERVER
_BASIC_MODE_GAME|Standart Spielmodi und Karten
_MODIFIED_MODE_GAME|Besondere Spielmodi and Benutzer-erstellte Karten
_HIDE_FULL_SERVER|Verstecke volle Server
_HIDE_EMPTY_SERVER|Verstecke leere Server
_ALL_MODES|Alle Spielmodi
_FILTER_TDM|Team deathmatch
_FILTER_FFA|Free for all
_FILTER_SHOVEL|Schaufelkampf
_FILTER_ELIMINATION|Auslöschung
_MODE_TDM|TEAM DEATHMATCH
_MODE_SHOVEL|SCHAUFELKAMPF
_MODE_FFA|FREE FOR ALL
_MODE_TEST|TEST MODUS
_MODE_ELIMINATION|AUSLÖSCHUNG
_MODE_INFECTION|INFEKTION
_RENDER_DEV|RENDER CHAR
_RENDER_CASE|RENDER CASE
_EDITOR_SKIN|SKIN EDITOR
_EDITOR_MAP|KARTEN EDITOR
_SQUAD|TRUPP
_CREATE_SERVER|ERSTELLE SERVER
_REFRESH_SERVER|AKTUALISIERE LISTE
_SERVER|SERVER
_MODE|MODUS
_PLAYERS|SPIELER
_LEVEL|LEVEL
_CONNECT|VERBINDEN
_TEST_MAP|TEST KARTE
_LOAD_MAP|LADE KARTE
_NEW_MAP|NEUE KARTE
_NEW_SKIN|NEUER SKIN
_LOAD_SKIN|LADE SKIN
_EXPA|EXP:
_LEVEL_PROGRESS|LEVEL FORTSCHRITT:
_DEATH|TODE:
_RATIO|K/D RATE:
_ASSIST|UNTERSTÜTZUNGEN:
_HEADSHOT|KOPFSCHÜSSE:
_PLAYER|SPIELER
_NOT_ENTER_RATING|NICHT IN DER WERTUNG
_SHOW|ZEIGE
_WAITING_CONFIRM|Warten auf Bestätigung des Empfangs des Gegenstandes...
_THANK_YOU_PURCHASE|Vielen Dank für deinen Kauf! Der Gegenstand ist im Inventar
_TRY_AGAIN|Ein Fehler ist aufgetreten, bitte versuch es später erneut.
_CASE_CONTAIN_SUBJECTS|Die Kiste enthält vielleicht eines der Folgenden Gegenstände:
_CASE_IN_WORKSHOP|Diese Kiste kann in der Werkstatt in der Austauschabteilung erhalten werden
_CASE_JOB|Diese Kiste kann kostenlos durch Abschließen von Aufgaben erhalten werden
_AVAILABLE_CASE|Verfügbare Kisten:
_SUPPLY THROUGH|Auffüllen in via
_KEY_ONE_OPEN|Einmaliger Schlüssel öffnet die entsprechende Kiste
_COSTUME_CAN_COMBINED|Charakterkostüm (kann mit anderen Kleidungsstücken kombiniert werden)
_OPEN|ÖFFNEN
_COST|KOSTEN:
_BUY_MORE|KAUFE +1
_GOTO|GEHE ZU
_NOT_MISS_COIN|Nicht genug Münzen zum kaufen
_FILL_COINS|FÜGE MÜNZEN HINZU
_EXIT|VERLASSEN
_NO_WEAPON|KEINE WAFFE
_MASTERLY|MEISTERHAFT!
_PERFECTLY|PERFEKT!
_EXCELLENT|AUSGEZEICHNET!
_IDEALLY|IDEAL!
_CLICK_SELECT_WEAPON|DRÜCKE <color=yellow>E</color> UM DAS SET ZU ÄNDERN
_WEAPON_CHANGE_REVIVAL|DAS SET WIRD SICH BEI DER NÄCHSTEN WIEDERBELEBUNG ÄNDERN
_NO_AMMO|KEINE MUNITION
_WON|GEWONNEN
_NEXT_GAME_WILLBE|DAS NÄCHSTE SPIEL BEGINNT IN
_GAME_OVER|SPIEL VORBEI
_TEAM_RED_WINS|DAS ROTE TEAM HAT GEWONNEN
_TEAM_BLUE_WINS|DAS BLAUE TEAM HAT GEWONNEN
_DRAW|ZIEHEN
_YOU_WERE_KILLED|GETÖTET VON
_WEAPON|Waffe
_SPECIALIZATION|Speziallität
_YOU|DU
_ENEMY|GEGNER
_HOLD_REDIAL_VIEWING|HALTE <color=yellow>H</color> ZUR ANSICHT
_TO_TEAM|(team)
_TOTAL|GESAMT
_WAITING_AUTH|ZULASSUNG
_PLAY|SPIELE
_INVENTORY|INVENTAR
_MENU_WEAPON|WAFFEN
_CHARACTER|CHARAKTER
_CASES|KISTEN
_PROFILE|PROFIL
_SHOP|LADEN
_KEYS|SCHLÜSSEL
_SUIT|ANZÜGE
_WORKSHOP|WERKSTATT
_PARSE|AUSTAUSCH
_UPGRADE|AUFWERTUNG
_BUYING_CASES|VERKAUFE KISTE
_TASKS|AUFGABEN
_COMBAT|KAMPF
_BONUSES|BONI
_RATING|BEWERTUNG
_OPTIONS|OPTIONEN
_GAME|SPIEL
_GRAPHICS|GRAFIK
_CONTROL|STEUERUNG
_SOUND|TON
_SELECT_NAME|WÄHLE NAME
_COMPLETION|KAUFE MÜNZEN
_CLANS|KLANS
_MY_CLAN|MEIN KLAN
_FIND_CLAN|FINDE KLAN
_MESSAGES|NACHRICHTEN
_CLICK_CHANGE_NAME|KLICKE ZUM NAMEN ÄNDERN
_CLICK_FILL_COINS|KLICKE ZUM MÜNZEN HINZUFÜGEN
_CLICK_CONTINUE|KLICKE ZUM FORTFAHREN
_AUTH_SUCCESSFULLY|GENEHMIGUNG ERFOLGREICH
_YOU_KILLED_PLAYER|Du hast einen Spieler getötet
_YOU_KILLED|Du hast getötet
_SURVIVAL_TIME|Überlebenszeit
_MIN|Min
_SERVER_AVAILABLE_WILL_BE|Der nächste eintritt in den Server wird verfügbar sein in
_NOT_CONNECT_TIMEOUT|VERBINDUNG ZUM SERVER FEHLGESCHLAGEN (TIMEOUT)
_PRESERVED|GESPEICHERT!
_INCORRECT_LENGTH|FALSCHE LÄNGE
_MIX_LANGUAGES|MISCHSPRACHEN
_NAME_BUSY|NAME BEREITS VERGEBEN
_YOU_TAKE|DEIN PLATZ
_PLACE_RATING|IN DER WERTUNG
_MEMBERS|KLANKAMERAD
_INCORRECT_CLAN_NAME|FALSCHER KLAN NAME
_CLAN_NOT_FOUND|KLAN KONNTE NICHT GEFUNDEN WERDEN
_CLAN_FOUND|KLAN GEFUNDEN
_NOT_CONNECT_LOST_CONNECTION|VERBINDUNG ZUM SERVER FEHLGESCHLAGEN (VERBINDUNG VERLOREN)
_ONLINE|ONLINE:
_LOADING|LADEN
_CLICK_OPEN_ADMIN_MENU_SERVER|DRÜCKE <color=yellow>K</color> UM DIE MENÜS DES SERVERADMINISTRATORS ZU ÖFFNEN
_MENU_ADMIN_SERVER|SERVER ADMINISTRATOR MENÜ
_SERVER_CONFIG|SERVER KONFIG
_MAPS_MANAGER|KARTEN MANAGER
_PLAYERS_MANAGER|SPIELER MANAGER
_MAPS_LOADING|KARTEN LADEN
_MAPS_AVAILABLE|KARTEN VERFÜGBAR
_MAPS_ROTATION|KARTEN AUSWAHL
_ADD_TO_ROTATION|FÜGE ZU AUSWAHL HINZU
_REQUEST_ADDING_TO_ROTATION|Anfrage Karte hinzuzufügen
_TO_ROTATION|zur auswahl
_REMOVE_FROM_ROTATION|ENTERNE VON AUSWAHL
_REQUEST_REMOVE_FROM_ROTATION|Anfrage Karte zu entfernen
_FROM_ROTATION|von Auswahl
_LAUNCH_MAP|STARTE KARTE
_REQUEST_LAUNCH_MAP|Anfrage Karte zu starten
_KICK_FROM_SERVER|WERFE VOM SERVER
_REQUEST_FOR_KICK_PLAYER|Anfrage Spieler vom Server zu schmeißen
_PERMISSION_CHAT|VERBIETE/ERLAUBE CHAT
_REQUEST_SILENCE_PLAYER|Anfrage Spieler stumm/unstumm zu stellen)
_PERMISSION_BUILDING|DENY/ERLAUBE BAUEN
_REQUEST_BUILD_FOR_PLAYER|Anfrage Spieler Baurechte zu geben
_MODE_GAME|SPIELMODUS
_VISIBILITY_SERVER|SERVER SICHTBARKEIT
_VISIBLE_EVERYONE|JEDER
_HIDDEN|VERBORGEN
_MODIFIERS|MODIFIKATOREN
_ALLOW_BREAK|ZERBRECHEN ERLAUBT
_FORBIDDEN_BREAK|ZERBRECHEN VERBOTEN
_ALLOW_BUILD|BAUEN ERLAUBT
_FORBIDDEN_BUILD|BAUEN VERBOTEN
_ALLOW_ATTACK|ANGREIFEN ERLAUBT
_FORBIDDEN_ATTACK|ANGREIFEN VERBOTEN
_LOCAL_MAPS|LOKALE KARTEN
_MAPS_ON_SERVER|SERVER KARTEN
_REMOVE_MAP|ENTFERNE KARTE
_REQUEST_REMOVE_MAP|Anfrage die Karte zu entfernen
_SEND_TO_SERVER|SENDE ZUM SERVER
_DOWNLOAD_FROM_DISK|LADE VOM SPEICHER
_REQUEST_PLAYER_TO_CLAN|klan Beitrittsanfrage
_CLANCHAT|KLAN CHAT
_PLAYERS|SPIELER
_LANGUAGE|SPRACHE
_TAP_CONTINUE|TIPPE ZUM FORTFAHREN
_CROSSPLAY|Crossplatform Server
_FULL|VOLL
_CHANGE_TEAM|WECHSLE TEAM
_QUICK_PLAY|SCHNELLSPIEL
_SERVER_LIST|SERVERLISTe
_LOGOUT|VOM PROFIL ABMELDEN
_FPS_LIMIT|FPS LIMIT
_FIELDOFVIEW|SICHTFELD (FOV)
_SENSITIVITY|EMPFINDLICHKEIT
_SENSITIVITY_AIM|EMPFINDLICHKEIT (ZIELEN)
_LOGIN_GAME|TRITT DEM SPIEL BEI
_LOGIN_VK|TRITT VIA VK BEI
_ORDER_LIST|LISTE SORTIEREN
_CLAN_EXP|KLAN EXP
_LEVEL_PROGRESS|LEVEL FORTSCHRITT
_CLAN_FRAGS|KLAN TÖTUNGEN:
_CLAN_DEATHS|KLAN TODE:
_PLAYER_STATS|SPIELER STATISTIKEN
_PLAYER_GAINED|EXP ERHALTEN:
_UPLOAD_FILES|Dateien hochladen
_ROUND|RUNDE
_ROUND_WON|RUNDE GEWONNEN
_ROUND_LOSE|RUNDE VERLOREN
_ENEMY_ELIMINATED|GEGNERISCHES TEAM ELEMINIERT
_ROUND_TIME_END|RUNDENZEIT ABGELAUFEN
_RESET|ZURÜCKSETZEN
_CHANGE_CONTROL|KONTROLLE ÄNDERN
_FILTER_INFECTION|Infektion
_PRESET|VOREINSTELLUNG
_RENDER_DISTANCE|RENDER DISTANZ
_PERFOMANCE|LEISTUNG
_QUALITY|QUALITÄT
_PLACE_WEAPON_CASE_STEAM|Setze 3 identische Waffen für den Austausch <color=red>(Waffen werden für immer zerstört)</color>, als Ergebnis wirst du eine spezielle Kiste erhalten.
_MOVEMENT|BEWEGUNG
_WEAPONS|WAFFEN
_CHAT|CHAT
_GAMEPLAY|SPIELABLAUF
_FORWARD|VORWÄRTS
_BACKWARD|RÜCKWÄRTS
_STRAFE_LEFT|LINKS
_STRAFE_RIGHT|RECHTS
_PREVIOUS_WEAPON|VORHERIGE WAFFE
_ALL_CHAT|CHAT (ALLE)
_TEAM_CHAT|TEAM CHAT
_CHANGE_SET|ÄNDERE SET
_SECOND_ATTACK|ZUSÄTZLICHER ANGRIFFSKNOPF
_CROUCH|KRIECHEN
