_GAMENAME|BLOCKPOST
_REMOVE_CLAN_CONFIRM|KLANI SİL(ONAYLA)
_AVAILABLE_RENAME|Mevcut ismi yeniden adlandır: 
_RENAME|ADI DEĞİŞTİR
_RETURN|GERİ DÖN
_CURRENT_STATUS_CLAN_OPEN|Mevcut klan durumu <color=#FF0> açıldı </color>
_CLAN_TAKES_APPLICATION|Klan üyeliğe davetiye kabul ediyor
_CURRENT_STATUS_CLAN_CLOSE|Mevcut klan durumu <color=#FF0> kapalı </color>
_CLAN_NOT_ACCEPT_APPLICATION|Klan üyelik davetlerini kabul etmiyor
_CHANGE_STATUS|DURUM DEĞİŞTİR
_CURRENT_NUMBER_SLOTS|Mevcut yuvalar <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Klanının maksimum kapasitesi  200 kişiye ulaştı!</color>
_SLOTS_AFTER_EXPANSION|Genişleme sonrası yuvalar
_MAXIMUM_200|(maksimum 200)
_COST_OPERATION|Operasyonun maliyeti 50 altın!
_PLACE_WEAPON_CASE|Değiştirmek için 3 silahı yerleştir<color=red>(silahlar kalıcı olarak imha edilecek)</color>, sonucunda özel kasa alacaksın.
_PLACE_WEAPON_WEAPON|Modernizasyon için 3 silahı yerleştir<color=red>(silahlar kalıcı olarak imha edilecek)</color>, sonucunda modifiyeli bir silah alacaksın.
_PLACE_CASE_2_COIN|Satmak için 1 kasa yerleştir <color=red>(kasa envanterden kalıcı olarak silinecek)</color>, sonucunda 2 altın alacaksın.
_PLACE_CASE_3_COIN|Satmak için 1 kasa yerleştir <color=red>(kasa envanterden kalıcı olarak silinecek)</color>, sonucunda 1 altın alacaksın.
_PLACE_CASE_1_COIN|Satmak için 1 kasa yerleştir <color=red>(kasa envanterden kalıcı olarak silinecek)</color>, sonucunda 1 altın alacaksın.
_WAITING_SERVER|SERVERİN YANIT VERMESİNİ BEKLE
_START_DISARMAMENT|PARÇALA
_START_UPGRADE_NOT|MODERNİZASYON BAŞLA (GELİŞTİRİCİ İÇİN)
_SALE_WILL_BE|SATIŞ YAPINCA MEVCUT OLACAK
_START_SALE|SATMAYA BAŞLA
_MAP_SAVED|HARİTA KAYDEDİLDİ
_CONSERVATION|HARİTA KAYDEDİLİYOR...
_ENABLE_CHAT|SOHBET AKTİF YAP
_DISABLE_CHAT|SOHBET PASİF YAP
_GAME_MENU|OYUN MENÜSÜ
_BACK_TO_GAME|OYUNA GERİ DÖN
_CHANGE_WEAPON|SİLAHI DEĞİŞTİR
_SAVE_MAP|HARİTAYI KAYDET
_EXIT_MAIN_MENU|ANAMENÜYE DÖN
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|BİRİNCİL
_SECONDARY|İKİNCİL
_MELEE|YAKIN DÖVÜŞ SİLAHI
_BUILDING_BLOCK|BLOK
_ADDITIONAL|ÖZEL
_COIN|altın
_COINS|altınlar
_VOICE|ses
_VOICES|sesler
_DAMAGE|HASAR
_CAGE|ŞARJÖR
_STOCK|CEPHANE
_RATE_FIRE|ATIŞ HIZI
_DISTANCE|MENZİL
_ACCURACY|DOĞRULUK
_RELOAD_SPEED|TEKRAR YÜKLEME HIZI
_RECOIL|TEPMEME
_PROPERTIES|DELME
_MOBILITY|HAREKETLİLİK
_OVERVIEW|GÖRÜNÜM
_WEAR_WEAPON|SİLAHI DONAN
_REMOVE_WEAPON|SİLAHI BIRAK
_COLOR_SKIN|TEN RENGİ TONU
_COLOR_EYE|GÖZ RENGİ
_COLOR_HAIR|SAÇ RENGİ
_HAIRSTYLE|SAÇ ŞEKLİ
_EYE_TYPE|GÖZ
_BEARD|SAKAL
_HAT|ŞAPKA
_BODY|GÖVDE
_PANTS|PANTOLONLAR
_BOOTS|BOTLAR
_BASIC_LVL|BASİT Lv.
_FRAGS|LEŞLER:
_PROGRESS|İLERLEME
_WITHOUT_SIGHT|NİŞANGAH YOK
_NEW_MAP|YENİ HARİTA
_IS_LOADING|YÜKLENİYOR
_NAME_MAP|HARİTA İSMİ
_SIZE_MAP|HARİTA GENİŞLİĞİ
_HEIGHT_MAP|YÜKSEKLİĞİ
_CREATE|OLUŞTUR
_LOAD|YÜKLE
_CHANGE_NAME|İSMİ DEĞİŞTİR
_SAVING|KAYDEDİLİYOR...
_PURCHASE_CHANGE_NAME|İsim değiştirme satın al(kalan hak 2)
_BUY|SATIN AL
_REGULAR_TASKS|GÖREVLERİ TAKİP ET
_ACTIVE_TASKS|GÖREVİ AKTİF ET
_PROGRESS_ACTIVITIES|Bu görevlerin ilerlemesi her zaman gerçekleştirilir.
_MUST_SELECT_TASK|Aktif etmek için bir görev seçmelisiniz.
_NEW_LVL|YENİ LEVEL
_REACH_LVL|Levelini %param% yükselt.
_SHTORM_TROOPER|TROOPER
_FRAGS_ASSAULT_RIFLE|Saldırı tüfeğiyle %param% leş miktarına ulaşın.
_MADE_IN_RUSSIA|«RUSYA'DA YAPILMIŞTIR»
_MADE_IN_RUSSIA2|«RUSYA'DA YAPILMIŞTIR 2»
_FRAGS_RUSSIAN_WEAPON|Rusya silahlarıyla %param% leş miktarına ulaşın.
_SNIPER|KESKİN NİŞANCI
_FRAGS_SNIPER_RIFLE|Keskin nişancı tüfeği ile 1000 leş miktarına ulaşın.
_SECONDARY_WEAPON|BİRİNCİL SİLAHLAR
_FRAGS_PISTOL|Tabanca ile 300 leş miktarına ulaşın.
_GIFT_CASE_ANNIVERSARY|Hediye yıldönümü kasası 
_GIFT_KEY_ANNIVERSARY|Hediye yıldönümü anahtarı
_FRAGS_HEADSHOT|500 kişiyi tam kafadan vur.
_VICTORY_DAY|ZAFER GÜNÜ
_GIFT_CASE_VICTORYDAY|Hediye zafer günü kasası 
_GIFT_KEY_VICTORYDAY|Hediye zafer günü anahtarı
_VICTORY_CASE|ZAFER KASASI
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>Herhangi bir silahla 1000 leş miktarına ulaşın.<br><color=orange>Bu kasadaki silahlarla %+50 fazladan ilerleme kaydedilecek</color></size>
_GIFT_CASE_HALLOWEEN|Hediye cadılar bayramı kasası
_GIFT_KEY_HALLOWEEN|Hediye cadılar bayramı anahtarı
_FRAGS_MELEE_WEAPON|Yakın dövüş silahıyla 500 leş miktarına ulaşın.
_HAPPY_NEW_YEAR|YENİ YILINIZ MUTLU OLSUN
_FRAGS_ANY_WEAPON|Herhangi bir silahla 1000 leş miktarına ulaşın.
_REWARD|ÖDÜL
_AWARE_AWARD|ÖDÜLÜ AL
_SELECT_TASK|GÖREVİ SEÇ
_SELECTED|SEÇİLDİ
_QUALITY_GRAPHICS|GRAFİK KALİTESİ
_SWITCHED_OFF|DEVRE DIŞI
_SWITCHED_ON|ETKİN
_CENTER|ORTA
_LEFT|SOL
_WHITE|BEYAZ
_GREEN|YEŞİL
_YELLOW|SARI
_BLUE|MAVİ
_ORANGE|TURUNCU
_MEAN|NORMAL
_HIGH|YÜKSEK
_VERY_HIGH|ÇOK YÜKSEK
_LOW|DÜŞÜK
_ULTRA|ULTRA
_RECRUIT|ACEMİ
_COLOR_SIGHT|NİŞANGAH RENGİ
_DISPLAY_LIFE|EKRAN SAĞLIĞI
_CHAT_FILTER|SOHBET FİLTRESİ
_NETWORK_SURFACE|YUMUŞAK DOKU
_DEVELOPERS_MODE|GELİŞTİRİCİ MODU
_SCREEN_RESOLUTION|EKRAN ORANI
_DYNAMIC_LIGHTING|DİNAMİK AYDINLATMA
_BLICKS|BAKIŞ
_PARTICLES|PARÇACIKLAR
_SMOOTHING|YUMUŞAT
_MOTION_BLUR|HAREKET BULANIKLIĞI
_FULL_SCREEN|Tam ekran tuşu <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|FARE HASSASİYETİ
_MOUSE_SENSITIVITY_AIM|FARE HASSASİYETİ (NİŞAN ALIRKEN)
_SOUND_VOLUME|SES SEVİYESİ
_MUSIC_VOLUME|MÜZİK SEVİYESİ
_REPEAL|İPTAL
_SAVE|KAYDET
_SETTINGS_SAVED|AYARLAR KAYDEDİLDİ!
_BACK|GERİ
_OFFICIAL_SERVER|RESMİ SUNUCULAR
_USER_SERVER|TOPLULUK SUNUCULARI
_BASIC_MODE_GAME|Varsayılan oyun modları ve haritalar.
_MODIFIED_MODE_GAME|Özel oyun modları ve kullanıcı tarafından oluşturulan haritalar
_HIDE_FULL_SERVER|Dolu sunucuyu gizle
_HIDE_EMPTY_SERVER|Boş sunucuyu gizle
_ALL_MODES|Tüm Modlar
_FILTER_TDM|Takım ölüm maçı
_FILTER_FFA|Herkes tek
_FILTER_SHOVEL|Kürek savaşı
_FILTER_ELIMINATION|Eleme
_MODE_TDM|TAKIM ÖLÜM MAÇI
_MODE_SHOVEL|KÜREK SAVAŞLARI
_MODE_FFA|HERKES TEK
_MODE_TEST|TEST MODU
_MODE_ELIMINATION|ELEME
_MODE_INFECTION|ENFEKSİYON
_RENDER_DEV|RENDER CHAR
_RENDER_CASE|RENDER KASA
_EDITOR_SKIN|CİLT EDİTÖRÜ
_EDITOR_MAP|HARİTA EDİTÖRÜ
_SQUAD|EKİP
_CREATE_SERVER|SUNUCU OLUŞTUR
_REFRESH_SERVER|LİSTEYİ YENİLE
_SERVER|SUNUCU
_MODE|MOD
_PLAYERS|OYUNCULAR
_LEVEL|LEVEL
_CONNECT|BAĞLAN
_TEST_MAP|TEST HARİTASI
_LOAD_MAP|HARİTA YÜKLE
_NEW_MAP|YENİ HARİTA
_NEW_SKIN|YENİ CİLT
_LOAD_SKIN|CİLT YÜKLE
_EXPA|EXP:
_LEVEL_PROGRESS|LEVEL İLERLEMESİ:
_DEATH|ÖLÜM:
_RATIO|K/D ORANI:
_ASSIST|ASSİST:
_HEADSHOT|TAM KAFADAN:
_PLAYER|OYUNCU
_NOT_ENTER_RATING|DEĞERLENDİRME YAPMA
_SHOW|GÖSTER
_WAITING_CONFIRM|Ürünün alındığına dair onayı bekle...
_THANK_YOU_PURCHASE|Satın aldığınız için teşekkür ederiz! Ürün envanterde
_TRY_AGAIN|Bir hata oluştu, lütfen tekrar deneyin.
_CASE_CONTAIN_SUBJECTS|Kasa aşağıdakilerden birini içerebilir:
_CASE_IN_WORKSHOP|Bu kasa değişim bölümünde atölyede elde edilebilir
_CASE_JOB|Bu kasa görevi tamamlayarak ücretsiz elde edilebilir
_AVAILABLE_CASE|Mevcut kasalar: 
_SUPPLY THROUGH|Üzerine Stokla
_KEY_ONE_OPEN|Tek seferlik anahtar, uygun kasayı açar
_COSTUME_CAN_COMBINED|Karakter kostümü (diğer kıyafetlerle birleştirilebilir)
_OPEN|KASAYI AÇ
_COST|MALİYET: 
_BUY_MORE|+1 ADET SATIN AL
_GOTO|GİT
_NOT_MISS_COIN|Satın almak için yeterli paran yok
_FILL_COINS|PARA EKLEYİN
_EXIT|ÇIKIŞ
_NO_WEAPON|SİLAH YOK
_MASTERLY|HARİKA!
_PERFECTLY|MÜKEMMEL!
_EXCELLENT|KASAP!
_IDEALLY|SERİ KATİL!
_CLICK_SELECT_WEAPON|SET DEĞİŞTİRMEK İÇİN<color=yellow> E </color>TUŞUNA BASIN
_WEAPON_CHANGE_REVIVAL|SONRAKİ CANLANMADA SİLAHI DEĞİŞTİR
_NO_AMMO|CEPHANEN TÜKENDİ
_WON|KAZANDIN
_NEXT_GAME_WILLBE|SONRAKİ OYUN BAŞLAYACAK
_GAME_OVER|OYUN BİTTİ
_TEAM_RED_WINS|KIRMIZI TAKIM KAZANDI
_TEAM_BLUE_WINS|MAVİ TAKIM KAZANDI
_DRAW|BERABERE
_YOU_WERE_KILLED|SENİ ÖLDÜRDÜ
_WEAPON|SİLAH
_SPECIALIZATION|Uzmanlaşma
_YOU|SEN
_ENEMY|DÜŞMAN
_HOLD_REDIAL_VIEWING|GÖRÜNÜM İÇİN <color=yellow>H</color> TUŞUNA BAS
_TO_TEAM|(takım)
_TOTAL|GENEL TOPLAM
_WAITING_AUTH|YETKİLENDİRME BEKLENİYOR
_PLAY|OYNA
_INVENTORY|ENVANTER
_MENU_WEAPON|SİLAH
_CHARACTER|KARAKTER
_CASES|KASALAR
_PROFILE|PROFİL
_SHOP|MAĞAZA
_KEYS|ANAHTARLAR
_SUIT|KIYAFETLER
_WORKSHOP|ATÖLYE
_PARSE|DEĞİŞ TOKUŞ
_UPGRADE|GELİŞTİRME
_BUYING_CASES|KASA SAT
_TASKS|GÖREVLER
_COMBAT|SAVAŞ
_BONUSES|İKRAMİYE
_RATING|DERECE
_OPTIONS|AYARLAR
_GAME|OYUN
_GRAPHICS|GRAFİK
_CONTROL|KONTROLLER
_SOUND|SES
_SELECT_NAME|İSİM SEÇ
_COMPLETION|ALTIN SATIN AL
_CLANS|KLANLAR
_MY_CLAN|KLANIM
_FIND_CLAN|KLAN ARA
_MESSAGES|MESAJLAR
_CLICK_CHANGE_NAME|ADINI DEĞİŞTİRMEK İÇİN TIKLA
_CLICK_FILL_COINS|ALTIN EKLEMEK İÇİN TIKLA
_CLICK_CONTINUE|DEVAM ETMEK İÇİN FARE İLE TIKLA
_AUTH_SUCCESSFULLY|YETKİLENDİRME BAŞARI
_YOU_KILLED_PLAYER|Bir oyuncuyu öldürdün
_YOU_KILLED|Öldürdün
_SURVIVAL_TIME|Hayatta kalma süresi
_MIN|min
_SERVER_AVAILABLE_WILL_BE|Sunucunun bir sonraki girişi
_NOT_CONNECT_TIMEOUT|SUNUCU BAĞLANAMADI (ZAMAN AŞIMI)
_PRESERVED|KAYDEDİLDİ!
_INCORRECT_LENGTH|ÇOK UZUN!
_MIX_LANGUAGES|KARIŞIK DİLLER
_NAME_BUSY|BU İSİM ALINDI!
_YOU_TAKE|SEN AL!
_PLACE_RATING|YER DERECELENDİRMESİ!
_MEMBERS|KLAN ÜYELERİ
_INCORRECT_CLAN_NAME|YANLIŞ KLAN ADI
_CLAN_NOT_FOUND|KLAN BULUNAMADI
_CLAN_FOUND|KLAN BULUNDU
_NOT_CONNECT_LOST_CONNECTION|SUNUCUYA BAĞLANAMADI (KAYIP BAĞLANTI)
_ONLINE|ÇEVRİMİÇİ OYUNCU SAYISI: 
_LOADING|YÜKLENİYOR...
_CLICK_OPEN_ADMIN_MENU_SERVER|SUNUCU YÖNETİCİSİ MENÜSÜNSÜNÜ AÇILMASI <color=yellow>K</color> BASIN
_MENU_ADMIN_SERVER|SUNUCU YÖNETİCİ MENÜSÜ
_SERVER_CONFIG|SUNUCU YAPILANDIRILMASI
_MAPS_MANAGER|HARİTA YÖNETİCİSİ
_PLAYERS_MANAGER|OYUNCU YÖNETİCİSİ
_MAPS_LOADING|HARİTALAR YÜKLENİYOR
_MAPS_AVAILABLE|MEVCUT HARİTALAR
_MAPS_ROTATION|HARİTA TALEPLERİ
_ADD_TO_ROTATION|TALEP EKLE
_REQUEST_ADDING_TO_ROTATION|HARİTA EKLEME İSTEĞİ
_TO_ROTATION|dönder
_REMOVE_FROM_ROTATION|TALEBİ KALDIR
_REQUEST_REMOVE_FROM_ROTATION|haritayı kaldırma isteği
_FROM_ROTATION|rotasyondan
_LAUNCH_MAP|HARİTAYI BAŞLAT
_REQUEST_LAUNCH_MAP|haritayı başlatma talebi
_KICK_FROM_SERVER|OYUNCUYU SUNUCU AT
_REQUEST_FOR_KICK_PLAYER|oyuncuyu atma talebi
_PERMISSION_CHAT|SOHBETİ REDDET/İZİN VER
_REQUEST_SILENCE_PLAYER|Oyuncunun sesini kapat/aç
_PERMISSION_BUILDING|YAPIYA REDDET/İZİN VER
_REQUEST_BUILD_FOR_PLAYER|oyuncuya erişim oluşturma talebi
_MODE_GAME|OYUNMODU
_VISIBILITY_SERVER|SUNUCU GÖRÜNÜRLÜĞÜ
_VISIBLE_EVERYONE|HERKES
_HIDDEN|GİZLİ
_MODIFIERS|DEĞİŞİKLİK
_ALLOW_BREAK|MOLAYA İZİN VER
_FORBIDDEN_BREAK|MOLAYA İZİN VERME
_ALLOW_BUILD|YAPIYA İZİN VER
_FORBIDDEN_BUILD|YAPIYA İZİN VERME
_ALLOW_ATTACK|SALDIRIYA İZİN VER
_FORBIDDEN_ATTACK|SALDIRIYA İZİN VERME
_LOCAL_MAPS|YEREL HARİTALARI
_MAPS_ON_SERVER|SUNUCU HARİTALARI
_REMOVE_MAP|HARİTAYI KALDIR
_REQUEST_REMOVE_MAP|haritayı kaldırma isteği
_SEND_TO_SERVER|SUNUCU GÖNDER
_DOWNLOAD_FROM_DISK|HDD'DEN YÜKLE
_REQUEST_PLAYER_TO_CLAN|klan katılma isteği
_CLANCHAT|KLAN SOHBET
_PLAYERS|OYUNCULAR
_LANGUAGE|DİL
_TAP_CONTINUE|DEVAM ETMEK İÇİN DOKUN
_CROSSPLAY|Çapraz Platform sunucuları
_FULL|DOLU
_CHANGE_TEAM|TAKIMI DEĞİŞTİR
_QUICK_PLAY|HIZLI OYNA
_SERVER_LIST|SUNUCU LİSTESİ
_LOGOUT|PROFİLDEN ÇIKIŞ YAP
_FPS_LIMIT|FPS LİMİT
_FIELDOFVIEW|GÖRÜŞ AÇISI
_SENSITIVITY|HASSASİYET
_SENSITIVITY_AIM|HASSASİYET (NİŞAN ALIRKEN)
_LOGIN_GAME|OYUN GİR
_LOGIN_VK|VK GİR
_ORDER_LIST|SİPARİŞ LİSTESİ
_CLAN_EXP|KLAN EXP
_LEVEL_PROGRESS|LEVEL İLERLEMESİ
_CLAN_FRAGS|KLAN LEŞİ:
_CLAN_DEATHS|KLAN ÖLÜMÜ:
_PLAYER_STATS|OYUNCU İSTATİSTİKLERİ
_PLAYER_GAINED|KAZANILAN EXP:
_UPLOAD_FILES|DOSYALARI YÜKLE
_ROUND|ROUND
_ROUND_WON|ROUNDU KAZANDIN
_ROUND_LOSE|ROUNDU KAYBETTİN
_ENEMY_ELIMINATED|DÜŞMAN ELEME
_ROUND_TIME_END|ROUND ZAMAN AŞIMI
_RESET|SIFIRLA
_CHANGE_CONTROL|DEĞİŞİM KONTROLÜ
_FILTER_INFECTION|FİLTRE ENFEKSİYONU
_PRESET|ÖNCELİK
_RENDER_DISTANCE|RENDER MESAFESİ
_PERFOMANCE|PERFOMANS
_QUALITY|KALİTE
_PLACE_WEAPON_CASE_STEAM|Değişim için 3 aynı silahı yerleştir<color=red>(silahlar kalıcı olarak imha edilecek)</color>, sonucunda özel bir kasa alacaksın.
_MOVEMENT|HAREKET
_WEAPONS|SİLAHLAR
_CHAT|SOHBET
_GAMEPLAY|OYNANIŞ
_FORWARD|İLERİ
_BACKWARD|GERİ
_STRAFE_LEFT|SOLA HAREKET
_STRAFE_RIGHT|SAĞA HAREKET
_PREVIOUS_WEAPON|ÖNCEKİ SİLAH
_ALL_CHAT|SOHBET (HERKES)
_TEAM_CHAT|TAKIM SOHBET
_CHANGE_SET|SETİ DEĞİŞTİR
_SECOND_ATTACK|İLAVE ATAK BUTONU
_CROUCH|ÇÖMELME
